family,i,j,name_i,name_j,len_i,len_j,gold,n_cells,sup_e_tp,sup_total_mass,baseline_e_tp,baseline_total_mass,opt_acc_e_tp,opt_acc_total_mass,mcmc_time_s
BB12014,2,5,1mnm_C,1fjl_A,78,65,37,5070,33.60525,58.4905,33.605482667684555,57.508469924592646,37.0,59.0,1676.7457304000854
BB12014,3,4,1ftz_,1bw5_,70,66,37,4620,29.470916666666675,63.14075,14.678897745907307,56.00531991080979,37.0,66.0,1669.065052986145
BB12014,3,5,1ftz_,1fjl_A,70,65,37,4550,36.68658333333333,64.6895,36.032697439193726,64.14816400619722,37.0,65.0,1828.0005850791931
BB12014,4,5,1bw5_,1fjl_A,66,65,37,4290,36.95391666666667,64.9525,36.67820185422897,64.74471438868412,37.0,65.0,1809.9269597530365
BB12021,0,1,1hlq_A,1hip_,75,85,51,6375,46.81716666666667,74.47375,46.71601910144091,73.53113921309588,49.0,75.0,2205.4638164043427
BB12021,0,2,1hlq_A,2hip_A,75,71,51,5325,37.386916666666664,66.92183333333332,35.6734708622098,65.34433166131535,43.0,68.0,1711.2266490459442
BB12021,0,3,1hlq_A,1hpi_,75,71,51,5325,44.513333333333335,69.71499999999999,44.22894760966301,69.37555277849813,44.0,70.0,1877.1582629680634
BB12021,1,2,1hip_,2hip_A,85,71,51,6035,36.480000000000004,67.73358333333333,35.103548308834434,66.01250272849917,44.0,69.0,1960.2516326904297
BB12021,1,3,1hip_,1hpi_,85,71,51,6035,46.15108333333334,70.55158333333333,45.32058200240135,69.76681785061392,48.0,71.0,2081.3476672172546
BB12021,2,3,2hip_A,1hpi_,71,71,51,5041,42.41766666666667,66.64108333333334,41.41946625709534,65.94215772183793,42.0,67.0,1628.4569590091705
BB12032,0,1,1drs_,1cb9_A,59,60,18,3540,14.835916666666666,54.675999999999995,14.260786414146423,52.8088959413131,18.0,55.0,1281.4117991924286
BB12032,0,2,1drs_,1fas_,59,61,18,3599,17.684416666666667,57.29308333333333,17.62644273042679,55.73833091643871,18.0,58.0,1241.7940759658813
BB12032,0,3,1drs_,1kba_A,59,66,18,3894,11.448916666666669,57.20516666666667,12.191134333610535,55.400253189541274,13.0,58.0,1274.9780673980713
BB12032,0,4,1drs_,1cod_,59,62,18,3658,17.74766666666667,56.73025,17.68127828836441,55.06606379729973,18.0,58.0,1281.2918629646301
BB12032,1,2,1cb9_A,1fas_,60,61,18,3660,12.8615,56.301833333333335,12.142253447324038,53.65779961189605,14.0,59.0,1198.2611668109894
BB12032,1,3,1cb9_A,1kba_A,60,66,18,3960,14.548000000000002,56.069833333333335,13.662621967494488,53.68008375409769,16.0,58.0,1348.1666729450226
BB12032,1,4,1cb9_A,1cod_,60,62,18,3720,15.349499999999999,56.89775,15.163710206747055,55.51323651857811,17.0,58.0,1230.651286125183
BB12032,2,3,1fas_,1kba_A,61,66,18,4026,12.245999999999999,57.17233333333333,11.966291159391403,55.40484990700533,13.0,59.0,1387.6700394153595
BB12032,2,4,1fas_,1cod_,61,62,18,3782,17.799583333333334,59.83658333333334,17.553064167499542,59.41459698067783,18.0,60.0,1378.244860649109
BB12032,3,4,1kba_A,1cod_,66,62,18,4092,14.679416666666667,58.62083333333334,14.647390335798264,58.09816456310506,16.0,59.0,1450.6729159355164
BB12041,0,1,1gyo_A,1wad_,107,111,66,11877,40.22466666666666,96.15166666666667,37.143888105871156,91.82715767404625,46.0,99.0,3398.98920917511
BB12041,0,2,1gyo_A,1czj_,107,110,66,11770,63.512250000000016,105.80033333333333,61.44113798439503,104.59805129278655,64.0,106.0,3856.6112809181213
BB12041,1,2,1wad_,1czj_,111,110,66,12210,52.00716666666667,100.87566666666666,49.013662739656866,95.04488914402059,55.0,105.0,3986.6304326057434
BB20001,0,1,2lef_A,1e7j_A,86,74,39,6364,28.278833333333328,69.29041666666666,19.19892419502139,64.12092760415797,30.0,71.0,2000.1569113731384
BB20001,0,2,2lef_A,1aab_,86,83,39,7138,29.961583333333337,72.511,25.48734287917614,67.41119729102991,38.0,75.0,2349.7741310596466
BB20001,1,2,1e7j_A,1aab_,74,83,39,6142,36.354833333333346,73.46591666666666,34.65275780856609,72.46630382440175,38.0,74.0,2325.3034088611603
BB20008,0,1,1lui_A,2pna_,108,104,29,11232,17.919,94.73416666666667,17.95978066069074,93.35822492443462,20.0,95.0,3262.1329374313354
BB20008,0,2,1lui_A,2pld_A,108,105,29,11340,22.642749999999992,97.02675,22.629824481904507,94.20650065819662,25.0,98.0,3352.3182253837585
BB20008,0,3,1lui_A,1ab2_,108,109,29,11772,24.80491666666666,98.59725,24.241487756371498,97.51529228747378,28.0,99.0,3562.6128866672516
BB20008,0,4,1lui_A,1ju5_A,108,109,29,11772,26.13383333333334,91.51908333333333,26.201493840664625,89.37789420211614,27.0,93.0,3078.983054161072
BB20008,0,5,1lui_A,1bm2_A,108,98,29,10584,20.37508333333333,95.36541666666668,19.800310395658016,91.65355232615457,20.0,96.0,3325.7017612457275
BB20008,0,6,1lui_A,1aya_A,108,101,29,10908,21.86425,92.94175000000001,22.32680469378829,91.61674149114349,24.0,94.0,3173.8899614810944
BB20008,0,7,1lui_A,1d4t_A,108,104,29,11232,20.891750000000005,97.99691666666666,21.261700852308422,93.74281627867401,22.0,100.0,3319.4816167354584
BB20008,1,2,2pna_,2pld_A,104,105,29,10920,24.518166666666666,95.25433333333334,23.906765401363373,92.98140825115479,24.0,96.0,3803.329778432846
BB20008,1,3,2pna_,1ab2_,104,109,29,11336,26.53741666666666,96.6175,22.693932563066483,92.47413268467409,29.0,98.0,3315.201432943344
BB20008,1,4,2pna_,1ju5_A,104,109,29,11336,17.12383333333333,88.887,15.934975419193506,84.44427531848744,16.0,90.0,3088.5378296375275
BB20008,1,5,2pna_,1bm2_A,104,98,29,10192,26.332000000000004,94.92508333333333,26.347404971718788,92.10861068288563,27.0,96.0,3275.3210780620575
BB20008,1,6,2pna_,1aya_A,104,101,29,10504,28.917916666666663,97.24108333333334,28.71016812324524,95.64244897995643,29.0,98.0,3340.846020460129
BB20008,1,7,2pna_,1d4t_A,104,104,29,10816,20.358,95.08924999999999,16.181475043296814,88.86298213860896,25.0,97.0,3304.066728115082
BB20008,2,3,2pld_A,1ab2_,105,109,29,11445,24.532916666666665,103.35633333333334,24.501447073183954,100.1640675535442,25.0,104.0,3911.7774052619934
BB20008,2,4,2pld_A,1ju5_A,105,109,29,11445,27.733583333333332,89.49124999999998,27.31900230050087,87.90498287750694,29.0,90.0,3151.4143340587616
BB20008,2,5,2pld_A,1bm2_A,105,98,29,10290,27.83533333333333,95.25491666666666,27.212147921323776,92.9570806932444,29.0,96.0,3443.7983496189117
BB20008,2,6,2pld_A,1aya_A,105,101,29,10605,26.527583333333343,92.362,26.252582982182503,91.34250732933545,27.0,93.0,3289.730961561203
BB20008,2,7,2pld_A,1d4t_A,105,104,29,10920,24.856499999999997,95.39325000000001,24.55936372280121,93.35653979659915,25.0,96.0,3445.2061290740967
BB20008,3,4,1ab2_,1ju5_A,109,109,29,11881,27.569,89.14158333333333,26.944251477718353,86.60480832256992,29.0,91.0,3156.0510036945343
BB20008,3,5,1ab2_,1bm2_A,109,98,29,10682,28.15383333333334,95.04650000000001,27.629947423934937,91.65571590899461,29.0,97.0,3347.230579853058
BB20008,3,6,1ab2_,1aya_A,109,101,29,11009,25.200749999999992,92.58025,24.919460279867053,91.30687570890856,25.0,93.0,3188.9652197360992
BB20008,3,7,1ab2_,1d4t_A,109,104,29,11336,28.23683333333333,97.52733333333333,27.419266998767853,96.33413425931842,29.0,98.0,3510.8281331062317
BB20008,4,5,1ju5_A,1bm2_A,109,98,29,10682,26.495916666666673,89.07708333333332,25.149516195058823,81.05578961118317,29.0,91.0,3022.917395591736
BB20008,4,6,1ju5_A,1aya_A,109,101,29,11009,25.11841666666667,90.2815,24.98173577710986,88.10933538110405,25.0,91.0,3077.36718416214
BB20008,4,7,1ju5_A,1d4t_A,109,104,29,11336,21.621250000000003,96.58425,17.583176917665696,91.1359528551234,25.0,98.0,3236.34899187088
BB20008,5,6,1bm2_A,1aya_A,98,101,29,9898,25.432499999999997,93.20333333333333,25.13558493554592,89.5606813549313,26.0,94.0,3155.5767784118652
BB20008,5,7,1bm2_A,1d4t_A,98,104,29,10192,27.160499999999995,93.71433333333333,24.68955034017563,88.97884429426028,29.0,94.0,3254.4291319847107
BB20008,6,7,1aya_A,1d4t_A,101,104,29,10504,20.158749999999998,94.45666666666666,20.039512749761343,91.22208652607856,20.0,96.0,3123.987240791321
BB20015,0,1,1jhg_A,1hst_A,101,74,11,7474,0.02291666666666667,68.91608333333333,0.029611534037940146,59.17057372113728,0.0,70.0,3130.2422041893005
BB20015,0,2,1jhg_A,1aoy_,101,78,11,7878,0.0010833333333333333,75.3725,0.21103017464156437,71.15542658675852,0.0,77.0,2906.9984245300293
BB20015,0,3,1jhg_A,1idy_,101,54,11,5454,0.29900000000000004,52.96508333333333,0.24183264962630346,51.07707014835804,0.0,54.0,1803.3758926391602
BB20015,1,2,1hst_A,1aoy_,74,78,11,5772,0.58275,67.25466666666667,0.857855536043644,59.6753027837039,0.0,69.0,2835.52769780159
BB20015,1,3,1hst_A,1idy_,74,54,11,3996,0.22791666666666668,52.26708333333333,0.47755319625139236,48.864872910027145,0.0,54.0,1968.2749857902527
BB20015,2,3,1aoy_,1idy_,78,54,11,4212,0.4165,48.945166666666665,0.13443999318405986,46.405789006327005,0.0,50.0,1779.443046092987
BB20030,0,1,1ubi_,1gua_B,76,77,12,5852,0.8971666666666668,74.25225,0.6238932181149721,68.7858128173038,0.0,76.0,2355.751744747162
BB20030,0,2,1ubi_,1a5r_,76,103,12,7828,5.9895,75.57783333333333,5.254754934459925,74.64369226085182,6.0,76.0,2355.8411073684692
BB20030,0,3,1ubi_,1awd_,76,94,12,7144,7.2999166666666655,70.22433333333333,7.039282977581024,64.45126925766262,7.0,74.0,2634.5544834136963
BB20030,1,2,1gua_B,1a5r_,77,103,12,7931,0.16258333333333333,74.03991666666667,0.33395053539425135,67.6627179767558,0.0,76.0,3064.235100030899
BB20030,1,3,1gua_B,1awd_,77,94,12,7238,1.947,72.99833333333333,1.7212580502964556,66.49431064142037,3.0,75.0,3184.488340139389
BB20030,2,3,1a5r_,1awd_,103,94,12,9682,0.6345000000000001,91.41958333333334,1.0170753836755466,84.53124725178264,0.0,94.0,3910.7850885391235
BB20033,0,1,1cno_A,3c2c_,86,112,10,9632,8.984833333333333,82.10308333333333,8.592349201440811,79.06677144640916,10.0,83.0,2983.2619314193726
BB20033,0,2,1cno_A,1a56_,86,81,10,6966,7.8403333333333345,74.70325,8.32863673567772,71.29891279428189,10.0,77.0,2392.9840466976166
BB20033,1,2,3c2c_,1a56_,112,81,10,9072,7.423166666666667,79.8415,6.426465034484863,75.89801521253479,10.0,81.0,2934.405259847641
BB20038,0,1,155c_,1dvh_,134,79,16,10586,4.97525,76.53333333333333,4.899344125099972,70.54664295320126,6.0,79.0,3916.834309577942
BB20038,0,2,155c_,1akk_,134,104,16,13936,5.957583333333334,100.93383333333333,5.954748952477475,99.72669975434803,6.0,101.0,3709.386461496353
BB20038,1,2,1dvh_,1akk_,79,104,16,8216,6.662916666666667,76.7925,8.886796087026596,70.67286418577105,6.0,79.0,2971.232485771179
BB30015,0,1,1baw_A,1b3i_A,105,97,31,10185,30.966166666666666,96.85233333333333,30.927298069000244,96.58726323482364,31.0,97.0,3224.5358548164368
BB30015,0,2,1baw_A,1cuo_A,105,129,31,13545,16.342083333333335,102.08516666666667,10.625286217778921,89.92105465867574,25.0,104.0,4546.244051933289
BB30015,0,3,1baw_A,1ag6_,105,99,31,10395,30.293750000000003,98.09416666666667,29.903001844882965,96.56894515703769,31.0,99.0,3472.5400698184967
BB30015,0,4,1baw_A,1j5c_A,105,98,31,10290,30.991083333333332,97.75025000000001,30.975391030311584,97.21707295319507,31.0,98.0,3463.6903007030487
BB30015,1,2,1b3i_A,1cuo_A,97,129,31,12513,17.883583333333334,94.078,16.7940766653046,91.5650921369317,17.0,95.0,3743.9441454410553
BB30015,1,3,1b3i_A,1ag6_,97,99,31,9603,29.72158333333334,94.65325,28.627744376659393,94.0193228293356,31.0,95.0,3332.549257993698
BB30015,1,4,1b3i_A,1j5c_A,97,98,31,9506,30.99841666666667,95.9845,31.00247323513031,95.72415081367978,31.0,96.0,3330.53972697258
BB30015,2,3,1cuo_A,1ag6_,129,99,31,12771,13.031166666666666,96.88041666666666,10.885285321623087,91.44662494153032,18.0,98.0,4511.486818552017
BB30015,2,4,1cuo_A,1j5c_A,129,98,31,12642,14.252416666666667,95.91133333333333,14.496759288012981,92.28251856537926,22.0,97.0,4024.500567674637
BB30015,3,4,1ag6_,1j5c_A,99,98,31,9702,29.719666666666672,95.49308333333333,29.798860788345337,94.09349287166522,30.0,96.0,3442.9470205307007
BB30022,0,1,1cno_A,3c2c_,86,112,10,9632,8.800083333333333,82.03366666666666,8.592744022607803,79.11913229464527,10.0,83.0,2895.4535501003265
BB30022,0,2,1cno_A,1a56_,86,81,10,6966,8.435916666666666,74.73166666666665,8.32813286781311,71.30359499532128,10.0,77.0,2422.794105052948
BB30022,1,2,3c2c_,1a56_,112,81,10,9072,7.423166666666667,79.8415,6.426465034484863,75.89801521253479,10.0,81.0,2892.312358379364
BB30025,0,1,1fov_A,1kng_A,82,144,16,11808,7.534916666666666,79.31841666666666,8.448772135190666,73.93231449623389,11.0,82.0,3145.8365383148193
BB30025,0,2,1fov_A,1j0f_A,82,100,16,8200,13.265166666666667,81.39258333333333,13.26972645521164,79.7058841004518,16.0,82.0,2665.579922437668
BB30025,0,3,1fov_A,1grx_,82,85,16,6970,12.478,77.48141666666666,12.328427627682686,76.16503552924445,12.0,78.0,2372.7062225341797
BB30025,0,4,1fov_A,1mek_,82,120,16,9840,1.9689166666666666,77.49883333333332,1.0351015403284691,72.29280275128869,4.0,77.0,2769.8006541728973
BB30025,0,5,1fov_A,1b4q_A,82,105,16,8610,14.64316666666667,81.13433333333333,13.739711210131645,76.23865933242462,16.0,82.0,3509.9838242530823
BB30025,1,2,1kng_A,1j0f_A,144,100,16,14400,0.51825,97.92075,0.627697641873965,94.676917153653,0.0,99.0,3981.8580420017242
BB30025,1,3,1kng_A,1grx_,144,85,16,12240,4.449750000000001,83.50458333333333,4.543263183673844,79.27120350054655,5.0,85.0,3399.8696298599243
BB30025,1,4,1kng_A,1mek_,144,120,16,17280,10.055250000000001,113.93358333333333,7.840032184496522,105.10378025319496,15.0,114.0,5037.225065469742
BB30025,1,5,1kng_A,1b4q_A,144,105,16,15120,6.313833333333332,101.79283333333333,6.807421907782555,97.00385751485997,9.0,103.0,4315.033127307892
BB30025,2,3,1j0f_A,1grx_,100,85,16,8500,5.1593333333333335,83.69975,5.106551973556634,80.61267993056562,5.0,85.0,2883.3939299583435
BB30025,2,4,1j0f_A,1mek_,100,120,16,12000,0.2725833333333333,92.68183333333333,0.4973285144078545,85.21340503286618,0.0,95.0,4521.84219956398
BB30025,2,5,1j0f_A,1b4q_A,100,105,16,10500,2.886333333333333,96.7845,4.538489617407322,90.02124260930991,0.0,99.0,3546.7524127960205
BB30025,3,4,1grx_,1mek_,85,120,16,10200,0.64525,83.29424999999999,1.080595951207215,79.62658751537452,0.0,85.0,3004.6553852558136
BB30025,3,5,1grx_,1b4q_A,85,105,16,8925,14.909750000000003,80.28175,14.761853009462357,78.77888891847203,15.0,81.0,2719.8250732421875
BB30025,4,5,1mek_,1b4q_A,120,105,16,12600,6.934833333333334,99.79716666666667,6.111224606633186,94.56632569360511,9.0,100.0,4061.478543281555
BB40018,0,1,1bai_A,1nso_A,124,107,24,13268,19.912166666666668,106.28566666666666,19.875542877591215,103.45017473029864,20.0,107.0,3806.622001886368
BB40018,0,2,1bai_A,7upj_B,124,99,24,12276,22.840083333333336,96.64,22.911168426275253,93.05234267970273,24.0,97.0,3338.8606622219086
BB40018,1,2,1nso_A,7upj_B,107,99,24,10593,19.849000000000004,97.26966666666667,19.39095367034315,93.46545080524001,20.0,99.0,3331.547706604004
BB40029,0,1,1j5c_A,1pmy_,98,123,58,12054,50.579833333333326,88.191,50.34642466902733,85.51132313638139,57.0,91.0,3312.0845804214478
BB40029,0,2,1j5c_A,1b3i_A,98,97,58,9506,57.94725,95.97775,57.967618227005005,95.73966594423996,58.0,96.0,3364.947986841202
BB40029,0,3,1j5c_A,1baw_A,98,105,58,10290,56.77891666666666,97.83041666666666,56.28639900684357,97.2224827270264,57.0,98.0,3456.487874507904
BB40029,0,4,1j5c_A,1ag6_,98,99,58,9702,56.75358333333334,95.40225000000001,56.787811160087585,94.08010919579479,57.0,96.0,3304.4236073493958
BB40029,0,5,1j5c_A,1adw_A,98,123,58,12054,51.59466666666667,88.69158333333333,51.21829837560654,84.98643469718478,53.0,91.0,3280.030557155609
BB40029,0,6,1j5c_A,1iuz_,98,98,58,9604,57.119500000000016,96.10900000000001,57.03761649131775,93.96742562965636,57.0,97.0,3350.8499381542206
BB40029,0,7,1j5c_A,1paz_,98,120,58,11760,51.208083333333335,89.75733333333334,49.716429099440575,87.3208332140627,55.0,91.0,3325.951182126999
BB40029,0,8,1j5c_A,1kdi_,98,102,58,9996,56.45424999999998,95.67933333333333,56.250135719776154,94.9973494465869,57.0,96.0,3340.8496429920197
BB40029,1,2,1pmy_,1b3i_A,123,97,58,11931,48.16158333333335,89.4485,46.7107615172863,84.57727472599181,54.0,91.0,3428.626163005829
BB40029,1,3,1pmy_,1baw_A,123,105,58,12915,49.52675000000001,90.76233333333333,46.605888687074184,87.31300091491812,53.0,92.0,3654.88369846344
BB40029,1,4,1pmy_,1ag6_,123,99,58,12177,43.29775,88.0275,42.03636768297292,86.11973043462999,48.0,89.0,3326.7125113010406
BB40029,1,5,1pmy_,1adw_A,123,123,58,15129,57.956,122.9565,57.71914279460907,122.7166902251843,58.0,123.0,4925.757287979126
BB40029,1,6,1pmy_,1iuz_,123,98,58,12054,45.95033333333334,88.52575000000002,44.71778419241309,86.45027017375139,53.0,90.0,3437.554850578308
BB40029,1,7,1pmy_,1paz_,123,120,58,14760,57.98616666666668,119.96175,57.99018716812134,119.88821100518732,58.0,120.0,4945.865967273712
BB40029,1,8,1pmy_,1kdi_,123,102,58,12546,38.39483333333333,87.52266666666668,36.45557733438909,83.82782988711215,44.0,88.0,3503.852684020996
BB40029,2,3,1b3i_A,1baw_A,97,105,58,10185,56.71016666666667,96.8465,56.60813727974892,96.58601201434112,57.0,97.0,3372.234910964966
BB40029,2,4,1b3i_A,1ag6_,97,99,58,9603,56.649666666666675,94.65325,55.493646025657654,94.0193228293356,58.0,95.0,3313.547613143921
BB40029,2,5,1b3i_A,1adw_A,97,123,58,11931,49.05933333333332,88.94941666666668,50.22160628437996,86.1836709492632,49.0,90.0,3326.21133518219
BB40029,2,6,1b3i_A,1iuz_,97,98,58,9506,55.479249999999986,95.52616666666667,54.23778271488845,92.71972750463961,56.0,96.0,3412.506572008133
BB40029,2,7,1b3i_A,1paz_,97,120,58,11640,49.61458333333333,88.5145,49.577390030026436,86.32930237253726,52.0,90.0,3301.705663204193
BB40029,2,8,1b3i_A,1kdi_,97,102,58,9894,47.315916666666666,92.81891666666665,46.40671215578914,90.73671832642707,49.0,94.0,3301.8695151805878
BB40029,3,4,1baw_A,1ag6_,105,99,58,10395,55.913333333333334,98.11575,55.45878513157368,96.56999917985323,57.0,99.0,3454.8899993896484
BB40029,3,5,1baw_A,1adw_A,105,123,58,12915,52.810416666666654,90.97691666666667,50.83119250833988,88.26068489185658,56.0,92.0,3350.923629283905
BB40029,3,6,1baw_A,1iuz_,105,98,58,10290,55.65866666666666,97.717,54.86571329832077,96.90663293163772,57.0,98.0,3485.144821166992
BB40029,3,7,1baw_A,1paz_,105,120,58,12600,51.02700000000001,90.21791666666667,48.863968789577484,87.75563118123598,56.0,91.0,3503.222063302994
BB40029,3,8,1baw_A,1kdi_,105,102,58,10710,55.13708333333332,98.01316666666668,54.25633606314659,96.061759846254,56.0,99.0,3455.65044093132
BB40029,4,5,1ag6_,1adw_A,99,123,58,12177,44.955083333333334,88.29141666666666,42.69935401296243,86.46075365606762,50.0,89.0,3326.361135005951
BB40029,4,6,1ag6_,1iuz_,99,98,58,9702,54.77166666666666,96.88725000000001,54.66342959087342,96.68736109136884,55.0,97.0,3295.237185716629
BB40029,4,7,1ag6_,1paz_,99,120,58,11880,46.85800000000001,88.09983333333332,45.88312945794314,86.34730449018218,49.0,89.0,3244.365885257721
BB40029,4,8,1ag6_,1kdi_,99,102,58,10098,57.88208333333333,96.40866666666666,57.376476645469666,95.42989553152192,58.0,96.0,3368.508193731308
BB40029,5,6,1adw_A,1iuz_,123,98,58,12054,45.887583333333346,89.00175,44.954677579924464,87.20245091999642,46.0,90.0,3480.489738225937
BB40029,5,7,1adw_A,1paz_,123,120,58,14760,57.998666666666665,119.96616666666668,57.98297506570816,119.80222182463154,58.0,120.0,5112.670757055283
BB40029,5,8,1adw_A,1kdi_,123,102,58,12546,42.507416666666664,86.48858333333334,37.748887590365484,80.5940965995297,48.0,89.0,3256.207266807556
BB40029,6,7,1iuz_,1paz_,98,120,58,11760,47.47033333333334,88.77375,46.229475376196206,86.98626060357822,50.0,90.0,3397.1595528125763
BB40029,6,8,1iuz_,1kdi_,98,102,58,9996,55.19208333333334,96.28133333333332,54.56151130795479,94.50059832790511,56.0,97.0,3378.4917554855347
BB40029,7,8,1paz_,1kdi_,120,102,58,12240,40.40025,85.22500000000001,38.679678396787494,80.9294426072679,40.0,86.0,3278.8508780002594
